Children's Services ,919.8
Homes for the Aged ,2065.8
"Shelter, Housing & Support ",659.6
Social Development & Administration ,159.9
Social Services ,1953
Emergency Medical Services ,1152
Emergency Management Plan ,0
Solid Waste Management Services ,1301.9
Fire Services ,3142
Transportation Services ,1184
WES - Support Services ,477.9
WES - Technical Services ,563
Culture ,154.7
Customer & Business Support ,247.7
Economic Development ,84
Parks & Recreation ,3682.2
Tourism ,40.3
Urban Development Services ,1098.5
City Clerk's Office ,382
Court Services ,221
Service Improvement & Innovation ,86
Corporate Communications ,84
Facilities & Real Estate ,749
Fleet Services ,200
Human Resources ,305
Information & Technology ,331
Legal ,238
Finance ,815
Auditor General's Office ,26
Chief Administrator's Office ,60
Council ,177
Mayor's Office ,18
Public Health ,1819
Toronto Public Library ,1817.7
Exhibition Place ,426
Heritage Toronto ,5
Theatres ,186.7
Toronto Zoo ,348.3
Arena Boards of Management ,63.5
Toronto & Region Conservation Authority ,356.6
Association of Community Centres ,85.6
Yonge Dundas Square ,3
Toronto Parking Authority ,313.4
Parking Enforcement Unit ,395
Toronto Atmospheric Fund ,4
Toronto Transit Commission** ,10430
Toronto Police Services(excludes Board) ,7296
Non Program ,1
