_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,2
Affordable Housing Office,AFFHOUSING,,2
Arena Boards of Management,ARENAS,,2
Association of Community Centres,COMMCENTRES,,2
Auditor General's Office,AUDITGEN,,2
Capital & Corporate Financing,CORPFINANCING,,2
Children's Services,CHILDSERV,,2
City Clerk's Office,CLERK,,2
City Council,COUNCIL,,2
City Manager's Office,CITYMANAGER,,2
City Planning,PLANNING,,2
Community Partnership and Investment Program,COMMPARTNER,,1
Court Services,COURTSERV,,2
Economic Development & Culture,ECONDEV,,2
Emergency Medical Services,EMERG,,2
Engineering & Construction Services,ENGINEERING,,
Exhibition Place,EXHIBPLACE,,2
Facilities Management & Real Estate,FACILITIES,,2
Facilities Management & Real Estate (incl TE,FACILITIES,,
Fire Services,FIRE,,2
Fleet Services,FLEET,,2
Heritage Toronto,HERITAGE,,2
Information & Technology,IT,,2
Integrity Commissioner's Office,INTEGRITYCOMM,,2
Legal Services,LEGAL,,2
Lobbyist Registrar,LOBBYREG,,2
Long Term Care Homes & Services,LONGTERMHOME,,2
Mayor's Office,MAYOR,,2
Municipal Licensing & Standards,LICENCING,,2
Municipal Licensing and Standards,LICENCING,,
Non-Program Expenditures,CORPEXPENDITURES,,2
Non-Program Revenues,CORPREVENUES,,2
Office of the Chief Financial Officer,CFO,,2
Office of the Ombudsman,OMBUDSMAN,,2
Office of the Treasurer,TREASURER,,2
Parking Tag Enforcement & Operations,PARKINGTAGS,,
"Parks, Forestry & Recreation",PARKS,,2
"Policy, Planning, Finance & Administration",POLICYADMIN,,1
"Policy, Planning, Finance and Administration",POLICYADMIN,,1
"Shelter, Support & Housing Administration",SHELTERADMIN,,2
"Social Development, Finance & Administratio",SOCIALDEV,,
"Social Development, Finance & Administration",SOCIALDEV,,2
Solid Waste Management Services,SOLIDWASTE,,2
Technical Services,TECH,,2
Theatres,THEATRES,,2
Toronto & Region Conservation Authority,REGIONCONSERV,,2
Toronto Atmospheric Fund,ATMOSPHERE,,
Toronto Building,BUILDINGS,,2
Toronto Employment & Social Services,SOCIALSERV,,2
Toronto Environment Office,ENV,,2
Toronto Parking Authority,PARKING,,2
Toronto Police Service,POLICE,,2
Toronto Police Services Board,POLICEBOARD,,2
Toronto Public Health,PUBLICHEALTH,,2
Toronto Public Library,LIBRARY,,2
Toronto Transit Commission - Conventional,TTCCONV,,2
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,2
Toronto Water,WATER,,2
Toronto Zoo,ZOO,,2
Transportation Services,TRANSPORTATION,,2
Yonge-Dundas Square,YONGEDUNDAS,,2
