Affordable Housing Office,19
Children's Services,990.8
Court Services,282
Economic Development & Culture,307.5
Toronto Paramedic Services,1445.3
Long Term Care Homes & Services,2372
"Parks, Forestry & Recreation",4607.2
"Shelter, Support & Housing Administration",757.5
"Social Development, Finance & Administration",137.5
Toronto Employment & Social Services,2120
City Planning,372
Fire Services,3168.3
Municipal Licensing & Standards,460
"Policy, Planning, Finance & Administration",196.4
Engineering & Construction Services,566.1
Toronto Building,456
Transportation Services,1123
Office of the Chief Financial Officer,115
Office of the Treasurer,724.2
"Facilities, Real Estate, Environment & Energy",1022.5
Fleet Services,184
Information & Technology,850
311 Toronto,166.3
City Manager's Office,432
City Clerk's Office,413.9
Legal Services,306.4
Mayor's Office,20
City Council,180
Auditor General's Office,31.5
Office of the Lobbyist Registrar,8.3
Integrity Commissioner's Office,3
Office of the Ombudsman,12
Toronto Public Health,1872
Toronto Public Library,1741
Association of Community Centres,77.9
Exhibition Place,361
Heritage Toronto,7
Theatres,171.9
Toronto Zoo,394
Arena Boards of Management,67.7
Yonge-Dundas Square,6.5
Parking Tag Enforcement & Operations,394
Toronto & Region Conservation Authority,419.6
Toronto Atmospheric Fund,8
Toronto Transit Commission - Conventional,13975
Toronto Transit Commission - Wheel Trans,565
Toronto Police Service,7881
Toronto Police Services Board,7
Solid Waste Management Services,1108.7
Toronto Water,1756.7
Toronto Parking Authority,302.4
